|state|city|is_top_twenty|Average Commute Time|diversity_rank|colleges|QoL|Seattle|New York|San Francisco|Washington DC|Travel Time|2017 All Cities Rank|Hours Spent in Congestion|ICI|PEAK|Daytime|Overall|Transit Score|Road Length [Miles]|Highway Length [Miles]|OVERALL|Workforce|Infra-structure|Cost of Doing Business|Economy|Quality of Life|Technology and Innovation|Education|Business Friendliness|Access to Capital|Cost of Living
120|Pennsylvania|Pittsburgh|True|22.4373|272.0|28.5|165.83|1.0|5.0|1.0|3.0|26.0|160.0|32.0|5.4|19.0|8.0|10.0|54.0|120446.0|7157.0|23.0|21.0|38.0|34.0|34.0|30.0|10.0|10.0|28.0|5.0|34.0
121|Pennsylvania|Northeast Pennsylvania|False|22.2509||||||||61.0|||||||39.0|120446.0|7157.0|23.0|21.0|38.0|34.0|34.0|30.0|10.0|10.0|28.0|5.0|34.0
122|Puerto Rico|Has declined to reveal details|False|0.0||||||||||||||||||||||||||||
123|Quebec, Canada|Greater Montreal|False|0.0|||197.53|||||30.0|||||||77.0|||||||||||||
124|Querétaro, Mexico|Details not known|False|0.0||||||||||||||||||||||||||||
125|Rhode Island|East Providence|False|21.805|281.0|58.9||0.0|0.0|0.0|3.0|11.0|||||||30.0|6052.0|602.0|45.0|27.0|50.0|43.0|29.0|31.0|34.0|20.0|37.0|44.0|42.0
126|Rhode Island|North Kingstown|False|0.0||87.0||0.0|0.0|0.0|3.0|19.0||||||||6052.0|602.0|45.0|27.0|50.0|43.0|29.0|31.0|34.0|20.0|37.0|44.0|42.0
127|Rhode Island|Pawtucket-Central Falls|False|28.3662|41.0|||0.0|0.0|0.0|3.0|16.0|||||||65.0|6052.0|602.0|45.0|27.0|50.0|43.0|29.0|31.0|34.0|20.0|37.0|44.0|42.0
128|Rhode Island|Providence|False|21.2355|13.0|58.9|177.2|0.0|0.0|0.0|3.0|15.0|413.0|21.0|3.7|10.0|5.0|6.0|47.0|6052.0|602.0|45.0|27.0|50.0|43.0|29.0|31.0|34.0|20.0|37.0|44.0|42.0
129|Rhode Island|Richmond|False|0.0||87.0||0.0|0.0|0.0|3.0|26.0|||||||50.0|6052.0|602.0|45.0|27.0|50.0|43.0|29.0|31.0|34.0|20.0|37.0|44.0|42.0
130|Rhode Island|Warwick|False|23.3193|446.0|59.222||0.0|0.0|0.0|3.0|10.0|||||||26.0|6052.0|602.0|45.0|27.0|50.0|43.0|29.0|31.0|34.0|20.0|37.0|44.0|42.0
131|Rhode Island|Woonsocket|False|25.3771|169.0|64.90899999999999||0.0|0.0|0.0|3.0|28.0|||||||50.0|6052.0|602.0|45.0|27.0|50.0|43.0|29.0|31.0|34.0|20.0|37.0|44.0|42.0
132|South Carolina|Greenville-Spartanburg|False|16.1329|254.0||193.92|0.0|1.0|0.0|2.0|14.0|926.0|10.0|2.0|6.0|4.0|4.0|40.0|76067.0|3602.0|29.0|23.0|30.0|16.0|15.0|36.0|35.0|40.0|29.0|28.0|29.0
133|Tennessee|Knoxville|False|19.0675|334.0|61.0|174.36|0.0|1.0|0.0|2.0|15.0|834.0|12.0|2.1|7.0|4.0|4.0|31.0|95737.0|5015.0|9.0|19.0|2.0|6.0|5.0|42.0|30.0|37.0|4.0|23.0|7.0
134|Tennessee|Memphis|False|21.1414|270.0|162.0|148.85|1.0|2.0|1.0|1.0|12.0|556.0|17.0|3.2|8.0|5.0|5.0|37.0|95737.0|5015.0|9.0|19.0|2.0|6.0|5.0|42.0|30.0|37.0|4.0|23.0|7.0
135|Tennessee|Nashville|True|0.0|147.0|16.5|184.0|0.0|1.0|1.0|0.0|18.0|150.0|33.0|5.7|19.0|9.0|11.0|24.0|95737.0|5015.0|9.0|19.0|2.0|6.0|5.0|42.0|30.0|37.0|4.0|23.0|7.0
136|Texas|Austin|True|21.8013|73.0|5.0|192.08|3.0|3.0|5.0|4.0|24.0|72.0|43.0|7.4|20.0|8.0|11.0|34.0|313656.0|18031.0|4.0|1.0|1.0|15.0|25.0|37.0|11.0|34.0|24.0|3.0|9.0
137|Texas|Dallas-Fort Worth|True|24.8733|44.0||189.14|3.0|7.0|3.0|2.0|25.0|28.0|54.0|9.3|11.0|5.0|6.0|40.0|313656.0|18031.0|4.0|1.0|1.0|15.0|25.0|37.0|11.0|34.0|24.0|3.0|9.0
138|Texas|Frisco|False|26.4261||72.5||3.0|7.0|3.0|2.0|24.0|||||||20.0|313656.0|18031.0|4.0|1.0|1.0|15.0|25.0|37.0|11.0|34.0|24.0|3.0|9.0
139|Texas|Houston|False|25.5562|28.0|33.666|172.89|3.0|3.0|1.0|4.0|30.0|37.0|50.0|8.4|13.0|5.0|7.0|37.0|313656.0|18031.0|4.0|1.0|1.0|15.0|25.0|37.0|11.0|34.0|24.0|3.0|9.0
140|Texas|Milam County|False|33.1392||||||||||||||||313656.0|18031.0|4.0|1.0|1.0|15.0|25.0|37.0|11.0|34.0|24.0|3.0|9.0
141|Utah|Submitted a statewide bid|False|0.0||||||||||||||||||8.0|18.0|9.0|24.0|4.0|20.0|18.0|34.0|16.0|18.0|17.0
142|Virginia|Alexandria-Arlington-Loudoun-Fairfax (Northern Virginia)|False|29.3015|36.0||184.39|0.0|3.0|0.0|1.0|120.0|||||||54.0|75096.0|4602.0|7.0|2.0|25.0|35.0|20.0|17.0|16.0|13.0|7.0|13.0|28.0
143|Virginia|Great Richmond|False|20.9744|209.0||192.53|0.0|3.0|0.0|1.0|13.0|868.0|11.0|2.2|5.0|4.0|4.0|50.0|75096.0|4602.0|7.0|2.0|25.0|35.0|20.0|17.0|16.0|13.0|7.0|13.0|28.0
144|Virginia|Hampton Roads|False|21.5932|205.0|||||||24.0|469.0|20.0|3.5|11.0|5.0|7.0|27.0|75096.0|4602.0|7.0|2.0|25.0|35.0|20.0|17.0|16.0|13.0|7.0|13.0|28.0
145|Virginia|Northern Virginia|True|0.0||81.75||3.0|3.0|3.0|0.0|25.0||||||||75096.0|4602.0|7.0|2.0|25.0|35.0|20.0|17.0|16.0|13.0|7.0|13.0|28.0
146|Washington|Pudget Sound Region|False|0.0||||0.0|4.0|5.0|4.0|109.0||||||||80332.0|4557.0|1.0|5.0|32.0|32.0|3.0|5.0|3.0|19.0|31.0|8.0|37.0
147|Washington|Tacoma-Pierce County|False|25.2935|127.0||166.97|0.0|4.0|5.0|4.0|23.0|83.0|41.0|7.0|20.0|10.0|11.0|50.0|80332.0|4557.0|1.0|5.0|32.0|32.0|3.0|5.0|3.0|19.0|31.0|8.0|37.0
148|Washington, DC||True|0.0|103.0||168.7|1.0|6.0|2.0|0.0|17.0|13.0|63.0|10.8|20.0|9.0|11.0|68.0|1509.0|134.0|||||||||||
149|Wisconsin|Madison|False|18.5355|257.0|14.0|212.01|3.0|2.0|1.0|1.0|81.0|981.0|9.0|1.6|5.0|2.0|3.0|38.0|115458.0|5958.0|21.0|28.0|26.0|22.0|28.0|24.0|17.0|15.0|27.0|25.0|24.0
150|Wisconsin|Milwaukee|False|21.7242|114.0|100.0|167.29|3.0|2.0|1.0|1.0|14.0|439.0|21.0|3.7|8.0|4.0|5.0|49.0|115458.0|5958.0|21.0|28.0|26.0|22.0|28.0|24.0|17.0|15.0|27.0|25.0|24.0
