|state|city|is_top_twenty|Average Commute Time|diversity_rank|colleges|QoL|Seattle|New York|San Francisco|Washington DC|Travel Time|2017 All Cities Rank|Hours Spent in Congestion|ICI|PEAK|Daytime|Overall|Transit Score|Road Length [Miles]|Highway Length [Miles]|OVERALL|Workforce|Infra-structure|Cost of Doing Business|Economy|Quality of Life|Technology and Innovation|Education|Business Friendliness|Access to Capital|Cost of Living
14|California|San Jose|False|26.3931|8.0|57.25|180.35|3.0|2.0|1.0|0.0|10.0|||||||41.0|180800.0|14175.0|28.0|10.0|22.0|49.0|22.0|21.0|2.0|28.0|50.0|1.0|48.0
15|Chihuahua, Mexico|Details not known|False|0.0|||149.08|||||||||||||||||||||||||
16|Colorado|Denver|True|23.1911|84.0|98.25|170.9|7.0|5.0|5.0|5.0|38.0|120.0|36.0|6.5|13.0|7.0|8.0|48.0|88828.0|4909.0|6.0|4.0|28.0|38.0|13.0|14.0|7.0|12.0|8.0|12.0|32.0
17|Connecticut|Bridgeport-New Haven|False|26.5509|15.0|40.66|184.31|0.0|1.0|0.0|1.0|14.0|392.0|22.0|4.1|13.0|8.0|9.0|60.0|21531.0|1442.0|33.0|7.0|47.0|43.0|41.0|23.0|13.0|3.0|32.0|20.0|45.0
18|Connecticut|Danbury|False|25.2778|40.0|46.2||||||10.0|387.0|22.0|3.5|13.0|5.0|7.0|38.0|21531.0|1442.0|33.0|7.0|47.0|43.0|41.0|23.0|13.0|3.0|32.0|20.0|45.0
19|Connecticut|Greater Stamford|False|25.3608|23.0|52.2||0.0|1.0|0.0|1.0|30.0|81.0|41.0|7.2|23.0|12.0|13.0|38.0|21531.0|1442.0|33.0|7.0|47.0|43.0|41.0|23.0|13.0|3.0|32.0|20.0|45.0
20|Connecticut|Greater Hartford|False|21.9674|32.0|52.0|158.64|0.0|1.0|1.0|5.0|18.0|485.0|19.0|3.6|9.0|5.0|6.0|54.0|21531.0|1442.0|33.0|7.0|47.0|43.0|41.0|23.0|13.0|3.0|32.0|20.0|45.0
21|Connecticut|Waterbury|False|23.7125|46.0|41.0||0.0|1.0|1.0|5.0|51.0|339.0|24.0|4.7|14.0|8.0|10.0|48.0|21531.0|1442.0|33.0|7.0|47.0|43.0|41.0|23.0|13.0|3.0|32.0|20.0|45.0
22|Delaware|Fairfax|False|0.0||||2.0|5.0|4.0|3.0|20.0|||||||50.0|6427.0|424.0|40.0|15.0|36.0|40.0|39.0|37.0|18.0|36.0|22.0|38.0|33.0
23|Delaware|Wilmington|False|20.7861|193.0|62.0|109.69|2.0|5.0|4.0|3.0|30.0|450.0|20.0|3.9|10.0|6.0|7.0|51.0|6427.0|424.0|40.0|15.0|36.0|40.0|39.0|37.0|18.0|36.0|22.0|38.0|33.0
24|Florida|Manatee-Sarasota|False|18.4617|||||||||627.0|15.0|3.0|7.0|5.0|5.0||122736.0|8983.0|12.0|22.0|7.0|30.0|2.0|24.0|28.0|40.0|17.0|4.0|27.0
25|Florida|Orlando|False|24.0541|26.0|82.0|176.25|2.0|6.0|3.0|7.0|29.0|139.0|34.0|6.4|11.0|6.0|7.0|33.0|122736.0|8983.0|12.0|22.0|7.0|30.0|2.0|24.0|28.0|40.0|17.0|4.0|27.0
26|Florida|South Florida (Miami-Dade, Broward, Palm Beach)|True|26.125|179.0|99.0|149.49|1.0|7.0|2.0|4.0|18.0|14.0|64.0|11.8|13.0|7.0|9.0|57.0|122736.0|8983.0|12.0|22.0|7.0|30.0|2.0|24.0|28.0|40.0|17.0|4.0|27.0
27|Florida|Tampa-St. Petersburg|False|21.4774|60.0|110.0|192.84|1.0|6.0|1.0|5.0|14.0|228.0|28.0|4.6|13.0|5.0|7.0|32.0|122736.0|8983.0|12.0|22.0|7.0|30.0|2.0|24.0|28.0|40.0|17.0|4.0|27.0
28|Georgia|Metro Atlanta|True|23.5657|194.0|4.0|171.29|3.0|7.0|3.0|7.0|23.0|10.0|70.0|12.3|17.0|9.0|10.0|46.0|128235.0|7189.0|2.0|3.0|4.0|26.0|1.0|28.0|23.0|33.0|19.0|9.0|14.0
29|Georgia|Stonecrest|True|0.0||||3.0|7.0|3.0|7.0|30.0||||||||128235.0|7189.0|2.0|3.0|4.0|26.0|1.0|28.0|23.0|33.0|19.0|9.0|14.0
30|Hidalgo, Mexico|Details not known|False|0.0||||||||||||||||||||||||||||
31|Idaho|Submitted a statewide bid|False|0.0||||||||||||||||||20.0|33.0|32.0|11.0|8.0|18.0|36.0|44.0|3.0|41.0|6.0
32|Illinois|Chicago|True|32.6401|39.0|51.0|160.99|5.0|9.0|4.0|6.0|39.0|22.0|57.0|10.3|17.0|9.0|10.0|65.0|145892.0|7852.0|31.0|24.0|24.0|30.0|45.0|27.0|12.0|24.0|47.0|5.0|21.0
33|Indiana|Gary-Hammond|False|24.8054|411.0|15.0||||||17.0|694.0|14.0|2.7|9.0|6.0|5.0|49.0|96616.0|4224.0|14.0|35.0|3.0|2.0|10.0|45.0|26.0|29.0|8.0|24.0|2.0
34|Indiana|Indianapolis-Fishers|True|26.4613|203.0|61.0|162.74|2.0|5.0|3.0|2.0|23.0|539.0|17.0|3.0|8.0|4.0|5.0|23.0|96616.0|4224.0|14.0|35.0|3.0|2.0|10.0|45.0|26.0|29.0|8.0|24.0|2.0
35|Iowa|Greater Des Moines|False|18.3996|222.0|40.0|198.11|0.0|1.0|1.0|1.0|15.0|1063.0|8.0|1.6|5.0|3.0|4.0|29.0|114741.0|5126.0|15.0|42.0|23.0|10.0|21.0|9.0|25.0|9.0|11.0|30.0|15.0
36|Kansas|Kansas City|False|20.8957|62.0|78.0||1.0|0.0|2.0|0.0|25.0|||||||22.0|142047.0|4420.0|34.0|33.0|12.0|21.0|46.0|35.0|31.0|18.0|15.0|36.0|8.0
37|Kentucky|Louisville|False|0.0|309.0|125.0|174.47|1.0|6.0|2.0|4.0|85.0|499.0|19.0|3.4|10.0|6.0|6.0|28.0|79942.0|3301.0|35.0|47.0|6.0|3.0|29.0|41.0|38.0|30.0|44.0|27.0|10.0
38|Louisiana|The state declined to reveal details of any bids placed by or within Louisiana|False|0.0||||||||||||||||||44.0|28.0|39.0|4.0|49.0|49.0|47.0|48.0|40.0|31.0|20.0
39|Maine|Brunswick|False|16.2664||||0.0|4.0|0.0|2.0|34.0||||||||22898.0|1328.0|46.0|50.0|48.0|32.0|38.0|7.0|41.0|20.0|36.0|40.0|38.0
