# state|city|MSA|is_top_twenty|diversity_rank|colleges|QoL
North Carolina|Charlotte-York County|16740|False|79||189.27
North Carolina|Greensboro|24660|False|157|78.5|187.36
North Carolina|Hickory|25860|False||82|
North Carolina|Raleigh|39580|True|126|27|216.34
Nova Scotia, Canada|Halifax|0|FALSE|||173.08
Ohio|Cincinnati-Dayton|19380|False|263||177.24
Ohio|Cleveland|17460|False|207|131.333|160.51
Ohio|Columbus|18140|True|190|30|193.23
Ohio|Toledo-Maumee|45780|False|308||141.98
Oklahoma|Oklahoma City|36420|False|117|82|197.22
Oklahoma|Tulsa|46140|False|134|137|188.68
Ontario, Canada|Detroit-Windsor (Canada and Michigan)|0|False|394||129.1
Ontario, Canada|Hamilton|0|False|||169.25
Ontario, Canada|Ottawa-Gatineau|0|False|||200.21
Ontario, Canada|Sault Ste. Marie (Canada and Michigan)|0|False|||
Ontario, Canada|Simcoe County|0|False|||
Ontario, Canada|Toronto|0|True|||160.49
Oregon|Portland|38900|False|183|137|189.56
Pennsylvania|Delaware County|34620|False|||
Pennsylvania|Harrisburg|25420|False|111||
Pennsylvania|Lehigh Valley|10900|False||53.42|
Pennsylvania|Philadelphia|37964|True|104|53.75|151.59
Pennsylvania|Pittsburgh|38300|True|272|28.5|165.83
Pennsylvania|Northeast Pennsylvania|0|False|||
Puerto Rico|Has declined to reveal details|0|False|||
Quebec, Canada|Greater Montreal|0|False|||197.53
Quer&eacute;taro, Mexico Details not known|Mexico|0|FALSE|||151.02
Rhode Island|East Providence|77200|False|281|58.9|
Rhode Island|North Kingstown|77200|False||87|
Rhode Island|Pawtucket-Central Falls|77200|False|41||
Rhode Island|Providence|77200|False|13|58.9|177.2
Rhode Island|Richmond|77200|False||87|
Rhode Island|Warwick|77200|False|446|59.222|
Rhode Island|Woonsocket|77200|False|169|64.909|
South Carolina|Greenville-Spartanburg|24860|False|254||193.92
Tennessee|Knoxville|28940|False|334|61|174.36
Tennessee|Memphis|32820|False|270|162|148.85
Tennessee|Nashville|34980|True|147|16.5|184
Texas|Austin|12420|True|73|5|192.08
Texas|Dallas-Fort Worth|19124|True|44||189.14
Texas|Frisco|0|False||72.5|
Texas|Houston|26420|False|28|33.666|172.89
Texas|Milam County|0|False|||
Utah|Submitted a statewide bid|0|False|||
Virginia|Alexandria-Arlington-Loudoun-Fairfax (Northern Virginia)|47894|False|36||184.39
Virginia|Great Richmond|40060|FALSE|209||192.53
Virginia|Hampton Roads|47260|FALSE|205||
Virginia|Northern Virginia|0|True||81.75|
Washington|Pudget Sound Region|0|False|||
Washington|Tacoma-Pierce County|42660|False|127||166.97
Washington, DC|NA|47894|True|103||168.7
Wisconsin|Madison|31540|False|257|14|212.01
Wisconsin|Milwaukee|33340|False|114|100|167.29
