state,city,is_top_twenty_x,InfrastructureRank,Growth and Economy,Prosperity,Human Capital,Average Commute Time,diversity_rank,college_score,QoL,Seattle,New York,San Francisco,Washington DC,Travel Time,Hours Spent in Congestion,PEAK,Daytime,Transit Score,Road Length [Miles],Highway Length [Miles],Technology and Innovation,Business Friendliness,Total Graduates,StateTax,LocalSalesTax
Missouri,Kansas City - Missouri,FALSE,122,58,86,3,20.6463,182,122,188.21,3,2,2,4,25,18,7,3,29,16741,577,43,32,2084,4.23,4.13
Nebraska,Omaha – Nebraska,FALSE,101,66,23,59,17.9383,214,118,193.86,1,2,2,2,8,11,6,3,40,6357,108,39,43,1298,5.5,1.5
Nevada,Las Vegas – Nevada,FALSE,20,20,63,83,24.5788,35,63,160.93,5,5,6,3,12,24,11,7,34,14844,145,45,80,1435,6.85,1.3
New Hampshire,Londonderry - New Hampshire,FALSE,73,100,90,90,27.7537,473,1109,196.94,0,1,0,1,13,16,10,9,45,16157,932,21,151,43,0,0
New Hampshire,Manchester - New Hampshire,FALSE,80,100,90,90,22.5473,277,970,196.94,0,1,0,1,12,10,6,4,48,16157,932,38,151,1668,0,0
New York,Syracuse - New York,FALSE,21,97,66,63,17.7653,149,331,148.67,0,3,0,2,11,9,5,4,44,4621,180,39,195,2334,4,4.75
New York,Buffalo - New York,FALSE,4,94,43,31,20.3619,164,130,179.9,0,0,0,2,10,16,9,6,43,8878,207,41,34,809,4,4.75
New York,Albany - New York,FALSE,116,83,36,75,18.6777,170,170,177.76,0,0,0,2,17,14,7,4,54,3457,109,40,192,829,4,4.75
New York,New York City - New York,TRUE,23,20,20,55,19.6822,6,1121,137.77,4,0,5,6,58,91,19,11,85,37623,8063,59,77,13482,4,4.75
New York,Mount Vernon - New York,FALSE,116,83,36,75,32.5769,153,932,137.89,4,0,5,6,37,16,9,6,55,2000,50,8,195,54,4,4.75
New York,New Rochelle - New York,FALSE,116,83,36,75,29.0729,51,932,137.89,4,0,5,6,32,16,9,6,43,2000,50,8,195,129,4,4.75
New York,Westchester - New York,FALSE,116,83,36,75,19.46,23,932,178.65,0,3,0,2,50,16,9,6,44,2000,50,8,195,980,4,4.75
North Carolina,Greensboro - North Carolina,FALSE,114,76,68,12,19.681,157,243,187.36,0,2,0,2,17,4,2,2,30,6705,223,40,56,927,4.75,2
North Carolina,Charlotte - North Carolina,FALSE,86,80,80,53,23.4693,79,118,189.27,1,6,1,5,17,23,13,6,27,8154,270,42,3,2999,4.75,2.5
North Carolina,Raleigh - North Carolina,TRUE,56,10,11,22,20.9378,126,346,216.34,2,4,3,1,28,18,10,4,29,7169,167,45,12,3324,4.75,2
North Carolina,Hickory - North Carolina,FALSE,112,90,90,90,18.3137,79,118,210.29,1,6,1,5,50,4,2,2,30,4000,100,6,158,153,4.75,2
Ohio,Cleveland – Ohio,FALSE,110,89,92,82,23.6131,207,236,160.51,1,5,1,4,17,18,8,3,47,15480,504,42,134,849,5.75,2.25
Ohio,Toledo – Ohio,FALSE,112,71,29,19,19.048,308,270,141.98,0,1,1,1,20,12,5,4,,5000,200,40,140,571,5.75,1.5
Ohio,Cincinnati – Ohio,FALSE,24,64,71,85,21.4556,263,244,177.24,1,6,2,4,16,26,13,6,44,17013,435,39,105,2337,5.75,2.25
Ohio,Columbus – Ohio,TRUE,93,20,18,49,20.744,190,170,193.23,0,4,0,3,12,23,10,5,31,10022,302,40,61,3350,5.75,1.75
Oklahoma,Tulsa – Oklahoma,FALSE,147,61,90,98,17.5919,134,63,188.68,0,1,1,1,14,10,5,4,23,7486,258,39,4,1331,4.5,4.02
Oklahoma,Oklahoma City – Oklahoma,FALSE,147,36,21,60,20.0344,117,118,197.22,1,0,1,1,13,14,7,5,16,11198,339,41,1,893,4.5,3.88
Oregon,Portland – Oregon,FALSE,3,14,8,15,23.1964,183,63,189.56,3,3,5,2,18,50,21,9,51,16005,241,46,135,1968,0,0
Pennsylvania,Pittsburgh – Pennsylvania,TRUE,53,77,3,79,22.4373,272,343,165.83,1,5,1,3,26,32,19,8,54,13732,289,43,147,6587,6,1
Pennsylvania,Philadelphia – Pennsylvania,TRUE,34,67,72,50,31.5247,104,969,151.59,2,5,4,3,19,37,12,7,67,19566,495,49,149,4378,6,2
Pennsylvania,Harrisburg – Pennsylvania,FALSE,53,52,52,88,19.4761,111,0,175.33,0,0,0,1,17,13,8,4,39,2000,50,10,178,369,6,1
Pennsylvania,Delaware County – Pennsylvania,FALSE,53,77,72,88,28.6,272,969,180,0,1,0,1,31,32,19,8,39,2000,50,38,178,0,6,1
Pennsylvania,Lehigh Valley – Pennsylvania,FALSE,54,78,73,89,0,272,825,180,1,1,0,1,13,32,19,8,39,2000,50,10,178,0,6,1
Pennsylvania,Northeast Pennsylvania – Pennsylvania,FALSE,55,79,74,90,22.2509,272,0,180,1,0,1,0,61,32,19,8,39,2000,50,10,178,0,6,1
Rhode Island,Providence - Rhode Island,FALSE,27,82,35,57,21.2355,13,1411,177.2,0,0,0,3,15,21,10,5,47,5737,149,43,146,825,7,0
Rhode Island,Warwick - Rhode Island,FALSE,95,82,35,57,23.3193,446,1267,177.2,0,0,0,3,10,21,10,5,26,2000,50,34,187,171,7,0
Rhode Island,East Providence - Rhode Island,FALSE,95,82,35,57,21.805,281,1411,177.08,0,0,0,3,11,21,10,5,30,5737,149,43,146,825,7,0
Rhode Island,North Kingstown - Rhode Island,FALSE,95,82,35,57,25,292,425,180,0,0,0,3,19,21,10,5,30,2000,50,34,187,0,7,0
Rhode Island,Pawtucket - Rhode Island,FALSE,95,82,35,57,28.3662,41,1411,177.2,0,0,0,3,16,21,10,5,65,2000,50,34,187,110,7,0
Rhode Island,Richmond - Rhode Island,FALSE,95,82,35,57,25.7,13,452,177.17,0,0,0,3,26,21,10,5,50,2000,50,43,187,122,7,0
Rhode Island,Woonsocket - Rhode Island,FALSE,95,82,35,57,25.3771,169,1486,177.2,0,0,0,3,28,21,10,5,50,2000,50,34,187,50,7,0
South Carolina,Greenville - South Carolina,FALSE,15,28,70,80,16.1329,254,144,193.92,0,1,0,2,14,10,6,4,40,5144,95,38,179,582,7,0
Tennessee,Knoxville – Tennessee,FALSE,45,86,27,65,19.0675,334,139,174.36,0,1,0,2,15,12,7,4,31,3305,81,39,73,609,7,2.25
Tennessee,Memphis – Tennessee,FALSE,133,81,87,10,21.1414,270,38,148.85,1,2,1,1,12,17,8,5,37,10240,159,42,124,937,7,2.25
Tennessee,Nashville – Tennessee,TRUE,70,12,39,46,22.83,147,166,184,0,1,1,0,18,33,19,9,24,6886,231,42,60,1158,7,2.25
Texas,Dallas – Texas,TRUE,69,21,62,25,24.8733,44,309,189.14,3,7,3,2,25,54,11,5,40,58361,1589,52,30,2409,6.25,2
Texas,Houston – Texas,FALSE,74,9,20,86,25.5562,28,298,172.89,3,3,1,4,30,50,13,5,37,24834,747,50,18,3649,6.25,2
Texas,Austin – Texas,TRUE,49,8,18,4,21.8013,73,189,192.08,3,3,5,4,24,43,20,8,34,9448,109,46,8,2937,6.25,2
Texas,Frisco – Texas,FALSE,74,21,80,86,26.4261,44,309,189.14,3,7,3,2,24,43,20,8,20,4547,198,11,174,2531,6.25,2
Texas,Milam County – Texas,FALSE,75,22,81,87,33.1392,73,0,180,1,0,1,0,30,43,20,8,20,1259,105,11,174,0,6.25,2
Virginia,Great Richmond – Virginia,FALSE,107,31,56,43,20.9744,209,0,192.53,0,3,0,1,13,11,5,4,50,8792,307,43,53,1059,5.3,0
Virginia,Alexandria – Virginia,FALSE,40,31,56,43,29.3015,36,745,184.39,0,3,0,1,120,11,5,4,54,5000,200,34,50,1865,5.3,0.7
Virginia,Hampton Roads – Virginia,FALSE,175,32,57,44,21.5932,205,0,180,1,0,1,0,24,20,11,5,27,2000,50,16,157,161,5.3,0.7
Virginia,Northern Virginia – Virginia,TRUE,96,33,58,45,35.74,35,745,180,3,3,3,0,25,20,11,5,27,2000,50,16,157,0,5.3,0.7
Wisconsin,Milwaukee – Virginia,FALSE,99,79,30,7,21.7242,114,180,167.29,3,2,1,1,14,21,8,4,49,10590,179,42,99,1795,5,0.6
Wisconsin,Madison – Virginia,FALSE,84,51,10,78,18.5355,257,186,212.01,3,2,1,1,81,9,5,2,38,2000,50,40,47,2235,5,0.5
